,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,grup parlamentari,grup parlamentari,sistem nacional,person discapac,respons polit,estatut autonom,izquierd unid,medi ambient,banc españ,guardi civil,impuest rent,consej europe,tom consider,pact toled,rueg conclu,puest trabaj,tribunal constitucional,tramit proyect,pod judicial,empres public,ministeri agricultur,presupuest general,disposicion adicional,vot emit,puest march,numer formul,polit econom,tribunal suprem,des fij,sistem educ
1,codig penal,diput permanent,nacional salud,industri energ,opinion public,corpor local,unid inici,obras public,econom haciend,nacion unid,person fisic,parlament europe,consider proposicion,vay conclu,alta veloc,formacion profesional,articul constitu,convalid derog,consej general,sector public,econom europe,gast public,dictam comision,paus vot,ultim años,diput doñ,deficit public,administr public,salari minim,defensor puebl
2,grup cam,junt portavoc,ministeri sanid,amnist fiscal,hac falt,articul constitu,federal izquierd,plan hidrolog,credit extraordinari,asunt exterior,impuest sociedad,comision europe,interpel urgent,rueg vay,ministeri foment,merc trabaj,tribunal cuent,proced urgenci,general pod,servici public,pesc aliment,administr public,enmiend present,rechaz enmiend,nuev tecnolog,pregunt dirig,crecimient econom,servici public,minim interprofesional,ministeri educ
3,cualqui cas,articul reglament,sanid consum,junt andaluc,comision investig,financi autonom,defens enmiend,ministeri medi,sistem financier,derech human,rent person,econom europe,consecuent interpel,sistem segur,fuerz armad,reform laboral,administr public,med urgent,administr justici,defens competent,sector agrari,sector public,text altern,numer vot,cienci tecnolog,acat constitu,creacion emple,registr civil,canari mardon,iguald oportun
4,deb ten,rueg guard,asistent sanitari,ministeri industri,quier dec,sistem financi,enmiend present,parqu nacional,caj ahorr,fuerz armad,polit viviend,construccion europe,mocion consecuent,pod adquisit,ministeri defens,negoci colect,sentenci tribunal,proyect proced,fiscal general,empres priv,agricultur pesc,proyect presupuest,numer articul,enmiend vot,consej ministr,formul diput,cre emple,funcionari public,trabaj autonom,educ cienci
5,lleg acuerd,extraordinari comision,sistem sanitari,agenci tributari,hac años,reform estatut,unid pod,cambi climat,entidad financ,cuerp segur,valor añad,rein unid,proposicion popul,pension minim,transport ferroviari,ministeri trabaj,cort general,adopt med,ministeri justici,public priv,polit agrari,econom haciend,articul proyect,enmiend sen,investig desarroll,dirig ministr,crisis econom,proteccion dat,fij paus,hombr mujer
6,cre deb,izquierd plural,sanid public,energ turism,part polit,administr public,present enmiend,hidrolog nacional,merc valor,polit exterior,plan viviend,polit exterior,mocion present,sistem public,general carreter,polit activ,regim jurid,servici postal,codig penal,libert expresion,cam agrari,direccion general,present enmiend,dictam comision,administr public,vergenci uni,ultim años,izquierd plural,regim especial,ministeri cultur
7,servici milit,celebr extraordinari,salud public,garc tizon,tom decision,entidad local,confederal unid,plan nacional,consumidor usuari,fuerz cuerp,impuest valor,consej ministr,acept rechaz,vay termin,plan general,merc laboral,cuent general,ahor mism,ministeri fiscal,television priv,medi rural,organ autonom,disposicion transitori,rest enmiend,socied inform,promet acat,interior brut,altos carg,fij nombr,cultur deport
8,tan import,acuerd celebr,luch fraud,sub preci,sub tribun,cort general,nombr popul,energ renov,entidad credit,ministeri interior,fraud fiscal,tom decision,present mocion,fond reserv,estudi inform,estatut trabaj,funcion public,dañ caus,organ pod,libert sindical,sector pesquer,increment cient,hac referent,disposicion adicional,administr general,contest interpel,product interior,derech fundamental,des interven,polit educ
9,ten cuent,plen cam,list esper,baj preci,asum respons,competent exclus,text altern,domini public,ministeri econom,segur ciudadan,bas impon,conferent intergubernamental,piens adopt,sistem pension,consej ministr,relacion laboral,derech fundamental,grup parlamentari,tribunal suprem,sociedad anonim,agricultor ganader,emple public,enmiend total,aprob enmiend,increment cient,educ cultur,deud public,entrad vigor,parlamentari des,centr public
10,grup polit,segur vial,servici public,polit industrial,pod hab,disposicion adicional,enmiend izquierd,segur nucl,comision nacional,consej segur,sistem fiscal,polit europe,director general,clas pasiv,autop peaj,central sindical,proced administr,repar dañ,enjuici criminal,consej administr,termin tiemp,gast corrient,articul articul,enmiend popul,quier destac,ministr sanid,pequeñ median,derech ciudadan,regim general,poder public
11,solucion problem,debat total,ministr sanid,carg trabaj,deb hab,model financi,present izquierd,sector electr,fond garant,luch terror,sistem tributari,polit inmigr,polit general,pension viuded,infraestructur transport,contrat temporal,poder public,corre telegraf,audienci nacional,comision nacional,desarroll rural,ministeri econom,apart articul,enmiend mixt,mejor calid,pas numer,tip interes,funcion public,nombr mixt,educ cultur
12,hac referent,ocup escañ,general sanid,ultim años,mocion censur,administr central,portavoz izquierd,consej ministr,nacional merc,fuerz segur,viviend proteg,econom monetari,med piens,sub pension,plan director,tiemp parcial,recurs inconstitucional,solicit tramit,juec magistr,interes general,ministr agricultur,presupuest ministeri,tod enmiend,enmiend numer,polit industrial,jurament promes,estabil presupuestari,justici gratuit,aviacion civil,derech educ
13,dud algun,formul grup,consej interterritorial,empres public,director general,administr local,izquierd verd,tiemp conclu,concesion credit,alianz atlant,activ econom,minut tard,mocion popul,pension contribut,tren alta,contrat indefin,propi tribunal,gobern popul,enjuici civil,tribunal defens,organiz agrari,billon peset,exposicion motiv,progres democraci,investig cientif,formul doñ,median empres,segur jurid,fij mixt,luch violenci
14,fuerz polit,comision investig,atencion primari,emple rural,campañ electoral,fuerz polit,proposicion izquierd,polit energet,proteccion consumidor,victim terror,reform fiscal,merc interior,proposicion proposicion,public pension,madr barcelon,funcion public,principi legal,cualqui cas,tribunal superior,sector priv,aceit oliv,aument cient,acuerd dictam,sen proyect,plan nacional,cultur deport,gast public,colegi profesional,trabaj cuent,mejor calid
15,hech referent,lectur unic,administr public,plan emple,hac tiemp,ceut melill,defens present,interes general,comision econom,ministeri defens,pag impuest,comision mixt,ente public,complement min,inversion infraestructur,prestacion desemple,comision mixt,proyect convalid,superior justici,merc valor,propied intelectual,funcion public,disposicion final,aprob dictam,ministeri industri,junt electoral,recuper econom,asistent jurid,transport aere,materi educ
16,pued ten,formul numer,fraud fiscal,quier dec,hab hech,interes general,grup parlamentari,ministeri obras,gobern banc,derech libertad,rent trabaj,form part,med adopt,pension jubil,obras public,proteccion desemple,jurid administr,postal universal,comision justici,direccion general,organiz profesional,ministeri haciend,acept enmiend,enmiend articul,pon march,promes acat,situacion econom,sentenci tribunal,paus mixt,centr priv
17,algun maner,garc fonsec,haciend administr,sid contradich,aplaus banc,regim local,proposicion present,ministr medi,extraordinari import,polic nacional,viviend alquil,inmigr ilegal,present defens,adquisit pension,infraestructur ferroviari,acab tiemp,organ administr,urgent repar,justici interior,interes public,segur agrari,altos carg,ponenci comision,articul vot,cient respect,ministr educ,puest trabaj,reconoc derech,prevencion riesg,calid enseñ
18,mism tiemp,numer suficient,gast sanitari,hac años,program electoral,competent materi,total text,sistem electr,sector financier,polic guardi,haciend public,interes españ,consej administr,sistem proteccion,ejercit tierr,activ emple,recurs previ,llamazar vasc,contenci administr,consej ministr,nombr vasc,general presupuestari,brav lagun,vot telemat,desarroll tecnolog,relacion cort,polit fiscal,jurid gratuit,fij debat,victim violenci
19,debat cam,inici legisl,servici sanitari,tom decision,qued clar,fiscal financ,present popul,impact ambiental,proyect concesion,defens nacional,impuest patrimoni,perspect financ,television public,pag pension,plan infraestructur,derech trabaj,segur jurid,ultim años,organ judicial,direct comunitari,incendi forestal,corpor local,text proyect,proyect organ,nuev model,formul jos,reform estructural,servici administr,tiemp maxim,formacion profesional
